Fundos;Setor;Liquidez Diária (R$);P/VP;Dividend Yield;Variação de Preço;Patrimônio Líquido;Num. Cotistas
XPIE11;INDEFINIDO;1.655.302,25;N/A;1,76 %;3,23 %;N/A;0
XPIN11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;1.018.876,10;0,69;1,06 %;-1,96 %;735.832.557,35;40.767
XPLG11;IMÓVEIS INDUSTRIAIS E LOGÍSTICOS;5.776.374,40;0,97;0,79 %;-1,73 %;4.230.330.397,37;335.719
XPML11;SHOPPINGS;20.126.991,30;1,00;0,83 %;0,95 %;6.493.770.567,45;656.376
XPPR11;LAJES CORPORATIVAS;78.639,38;0,21;0,53 %;-9,03 %;443.953.188,51;42.867
XPSF11;FUNDO DE FUNDOS;813.224,20;0,83;1,04 %;1,98 %;353.347.349,41;55.338
XTED11;LAJES CORPORATIVAS;17.641,88;0,68;N/A;N/A;67.378.204,04;4.098
YUFI11;FUNDO DE DESENVOLVIMENTO;15,00;0,33;0,00 %;0,00 %;22.427.511,97;57
YUFI11B;INDEFINIDO;N/A;N/A;0,00 %;0,00 %;N/A;0
ZAGH11;SERVIÇOS FINANCEIROS DIVERSOS;4.792,25;1,09;0,59 %;-1,19 %;81.184.562,28;477
ZAVC11;INDEFINIDO;54.394,80;0,89;1,31 %;-0,33 %;36.480.081,37;662
ZAVI11;INDEFINIDO;108.180,95;0,70;1,04 %;2,33 %;160.077.846,50;2.456
ZIFI11;FUNDO DE DESENVOLVIMENTO;1.289,80;0,51;0,00 %;0,00 %;83.462.409,14;88
