Fundos;Setor;Liquidez Diária (R$);P/VP;Dividend Yield;Variação de Preço;Patrimônio Líquido;Num. Cotistas
BTSI11;MISTO;219,00;0,89;0,00 %;0,00 %;788.070.084,79;219
BTWR11;FUNDO DE DESENVOLVIMENTO;105,00;0,89;0,00 %;0,00 %;96.096.199,59;141
BTYU11;INCORPORAÇÕES;8.259,15;0,92;0,98 %;-7,04 %;303.877.179,03;597
BZEL11;MISTO;N/A;N/A;0,00 %;0,00 %;525.933.239,90;3
CACR11;PAPÉIS;2.516.130,15;0,84;1,41 %;6,47 %;458.809.658,24;27.015
CAFE11;MISTO;N/A;N/A;0,00 %;0,00 %;N/A;0
CARE11;MISTO;9.819,50;0,85;1,13 %;-2,63 %;249.230.298,63;11.700
CBOP11;LAJES CORPORATIVAS;18.481,85;0,56;0,42 %;15,68 %;102.022.216,20;2.082
CCME11;INDEFINIDO;256.696,80;0,86;0,92 %;-1,84 %;719.675.901,53;9.305
CCRF11;PAPÉIS;1.276,82;1,45;0,00 %;0,00 %;118.155.565,38;8.102
CCVA11;INDEFINIDO;159.202,27;0,96;0,00 %;0,00 %;64.461.973,21;1
CDII11;INDEFINIDO;8.402.615,30;N/A;1,21 %;-1,98 %;N/A;0
CEOC11;LAJES CORPORATIVAS;27.444,30;0,66;0,94 %;-0,35 %;123.226.075,81;3.776
CFHI11;FUNDO DE DESENVOLVIMENTO;40,00;0,76;0,00 %;0,00 %;2.514.034,94;96
CFII11;INDEFINIDO;153,60;1,06;0,00 %;0,00 %;92.070.552,43;102
CIXM11;MISTO;220.499,50;0,23;0,00 %;0,00 %;236.326.646,10;108
CJCT11;LAJES CORPORATIVAS;56.596,77;0,87;0,37 %;0,00 %;231.430.573,98;819
CLIN11;FUNDO DE FUNDOS;1.165.820,50;0,94;0,93 %;5,47 %;426.871.489,60;10.063
CNES11;LAJES CORPORATIVAS;71.874,75;0,26;0,16 %;0,00 %;220.346.856,00;80.526
COPP11;LAJES CORPORATIVAS;1.827.632,00;0,96;0,00 %;0,00 %;509.497.571,74;119
CORM11;LAJES CORPORATIVAS;N/A;N/A;0,90 %;-2,97 %;N/A;0
CPFO11;FUNDO DE FUNDOS;N/A;N/A;0,00 %;0,00 %;118.155.565,38;8.102
CPLG11;MISTO;14.400.344,70;1,13;1,02 %;-3,12 %;471.402.008,32;1.850
CPOF11;MISTO;25.766.405,94;1,03;0,00 %;0,00 %;509.497.571,74;119
CPSH11;INDEFINIDO;14.710.790,15;0,94;1,01 %;-1,27 %;925.132.009,40;30.426
CPTA11;FIAGRO;N/A;N/A;0,00 %;0,00 %;78.166.553,32;1.102
CPTI11;INDEFINIDO;2.851.231,60;N/A;1,27 %;3,66 %;N/A;0
CPTR11;INDEFINIDO;310.569,50;0,83;1,35 %;1,66 %;199.148.275,56;21.501
CPTS11;PAPÉIS;9.221.129,15;0,86;1,11 %;4,23 %;3.217.834.892,53;360.817
CPUR11;MISTO;813.273,20;1,09;0,94 %;-2,82 %;663.124.907,41;1.657
CRAA11;INDEFINIDO;973.006,20;0,99;1,26 %;6,68 %;241.764.627,58;10.866
CRFF11;FUNDO DE FUNDOS;19.823,45;0,88;0,83 %;4,08 %;60.138.241,01;1.179
CSMC11;INDEFINIDO;N/A;N/A;0,00 %;0,00 %;2.062.481.585,52;1
CTXT11;LAJES CORPORATIVAS;1.045,50;0,30;0,04 %;1,40 %;95.576.330,86;2.190
CVPR11;INDEFINIDO;N/A;N/A;0,00 %;0,00 %;63.395.215,90;3
